Twinning town/ city name,UK town/ city name,EUR town/ city name,EUR Country,EUR UA Code ,UK UA Code ,EUR_TT1060I,UK_TT1060I,EUR_SA2007I,UK_SA2007I,EUR_DE1059I,UK_DE1059I,EUR_DE1061I,UK_DE1061I,EUR_DE1057I,UK_DE1057I,EUR_DE1055I,UK_DE1055I,EUR_DE1073I,UK_DE1073I,EUR_DE1058I,UK_DE1058I,EUR_DE2001I,UK_DE2001I,EUR_TT1057V,UK_TT1057V,EUR_EC2009I,UK_EC2009I,EUR_TE2028I,UK_TE2028I,EUR_DE1064I,UK_DE1064I,EUR_DE1025I,UK_DE1025I,EUR_DE1085I,UK_DE1085I,EUR_EC2022I,UK_EC2022I,EUR_TT1057I,UK_TT1057I,EUR_DE1060I,UK_DE1060I,EUR_DE1003I,UK_DE1003I,EUR_TT1060V,UK_TT1060V,EUR_EC1174V,UK_EC1174V,EUR_SA2029I,UK_SA2029I,EUR_DE1028I,UK_DE1028I,EUR_EC1180V,UK_EC1180V,EUR_DE1076I,UK_DE1076I,EUR_DE2007I,UK_DE2007I,EUR_DE1073V,UK_DE1073V,EUR_CR1015V,UK_CR1015V,EUR_SA2018V,UK_SA2018V,EUR_SA2021V,UK_SA2021V,EUR_SA2019V,UK_SA2019V,EUR_CR1010V,UK_CR1010V,EUR_SA2020V,UK_SA2020V,EUR_SA2017V,UK_SA2017V,EUR_DE1049I,UK_DE1049I,EUR_DE2012V,UK_DE2012V,EUR_SA2007V,UK_SA2007V,EUR_EC1001V,UK_EC1001V,EUR_DE1040I,UK_DE1040I,EUR_SA2004I,UK_SA2004I,EUR_EC1003V,UK_EC1003V,EUR_EC1002V,UK_EC1002V,EUR_EC1179V,UK_EC1179V,EUR_DE1084I,UK_DE1084I,EUR_DE2009V,UK_DE2009V,EUR_DE2002V,UK_DE2002V,EUR_DE2010V,UK_DE2010V,EUR_DE1046I,UK_DE1046I,EUR_DE2008V,UK_DE2008V,EUR_SA2004V,UK_SA2004V,EUR_EC1012V,UK_EC1012V,EUR_DE2001V,UK_DE2001V,EUR_DE2003V,UK_DE2003V,EUR_DE2008I,UK_DE2008I,EUR_EC1010V,UK_EC1010V,EUR_SA1005V,UK_SA1005V,EUR_SA2013V,UK_SA2013V,EUR_SA1001V,UK_SA1001V,EUR_EC1011V,UK_EC1011V,EUR_EC1177V,UK_EC1177V,EUR_TE2031V,UK_TE2031V,EUR_EC2037V,UK_EC2037V,EUR_EN4008V,UK_EN4008V,EUR_DE2003I,UK_DE2003I,EUR_EC2020V,UK_EC2020V,EUR_DE1074V,UK_DE1074V,EUR_SA1004V,UK_SA1004V,EUR_EC1003I,UK_EC1003I,EUR_TE2031I,UK_TE2031I,EUR_EC1011I,UK_EC1011I,EUR_DE2009I,UK_DE2009I,EUR_EC2022V,UK_EC2022V,EUR_DE1060V,UK_DE1060V,EUR_DE1079V,UK_DE1079V,EUR_EC1020I,UK_EC1020I,EUR_EC2008I,UK_EC2008I,EUR_EC1012I,UK_EC1012I,EUR_EC2009V,UK_EC2009V,EUR_DE2011V,UK_DE2011V,EUR_DE1078V,UK_DE1078V,EUR_DE1047V,UK_DE1047V,EUR_EC2038V,UK_EC2038V,EUR_DE1040V,UK_DE1040V,EUR_DE1075V,UK_DE1075V,EUR_EC1001I,UK_EC1001I,EUR_EC2032V,UK_EC2032V,EUR_EC2034V,UK_EC2034V,EUR_DE1046V,UK_DE1046V,EUR_DE1061V,UK_DE1061V,EUR_DE1076V,UK_DE1076V,EUR_EC2021V,UK_EC2021V,EUR_EC1002I,UK_EC1002I,EUR_EC1176V,UK_EC1176V,EUR_EC2008V,UK_EC2008V,EUR_DE2002I,UK_DE2002I,EUR_EC2033V,UK_EC2033V,EUR_DE1049V,UK_DE1049V,EUR_DE1050V,UK_DE1050V,EUR_EC2036V,UK_EC2036V,EUR_EC1178V,UK_EC1178V,EUR_DE1042V,UK_DE1042V,EUR_EC1175V,UK_EC1175V,EUR_DE1056V,UK_DE1056V,EUR_DE1062V,UK_DE1062V,EUR_DE1077V,UK_DE1077V,EUR_DE1041V,UK_DE1041V,EUR_TE1026I,UK_TE1026I,EUR_EC2035V,UK_EC2035V,EUR_DE1058V,UK_DE1058V,EUR_DE1003V,UK_DE1003V,EUR_TE2028V,UK_TE2028V,EUR_DE1059V,UK_DE1059V,EUR_DE1048V,UK_DE1048V,EUR_DE1051V,UK_DE1051V,EUR_DE1029V,UK_DE1029V,EUR_DE1027V,UK_DE1027V,EUR_DE1026V,UK_DE1026V,EUR_DE1028V,UK_DE1028V,EUR_DE1030V,UK_DE1030V,EUR_DE1055V,UK_DE1055V,EUR_DE1066V,UK_DE1066V,EUR_DE1064V,UK_DE1064V,EUR_DE1025V,UK_DE1025V,EUR_DE1002V,UK_DE1002V,EUR_SA1013V,UK_SA1013V,EUR_SA1025V,UK_SA1025V,EUR_DE1057V,UK_DE1057V,EUR_DE1065V,UK_DE1065V,EUR_DE1001V,UK_DE1001V,EUR_SA3005V,UK_SA3005V,EUR_DE1063V,UK_DE1063V,EUR_DE3004I,UK_DE3004I,EUR_DE3017V,UK_DE3017V,EUR_EC2039V,UK_EC2039V,EUR_DE3001V,UK_DE3001V,EUR_TE1028V,UK_TE1028V,EUR_TE1027V,UK_TE1027V,EUR_TE2025V,UK_TE2025V,EUR_TE1026V,UK_TE1026V,EUR_SA1011V,UK_SA1011V,EUR_SA1050V,UK_SA1050V,EUR_SA1051V,UK_SA1051V,EUR_SA1012V,UK_SA1012V,EUR_SA2016V,UK_SA2016V
Cardiff/Nantes,Cardiff,Nantes,France,FR008C1,UK009C1,:,0.22,:,11.078,:,38.4,:,0.4,:,152.3,:,6.5,:,16.5,:,61.1,:,90.2,:,"134,503",:,6.6,:,36,:,11.6,:,10.1,:,5.4,:,4.2,:,370,:,22.6,:,102.1,:,8,:,"182,400",:,8.198,:,7.6,:,"25,900",:,12.2,:,10.2,:,33.6,10,:,:,175,:,"1,472",:,"2,980",:,:,:,"1,508",:,324,:,11.7,:,"36,939",:,"4,027",:,"198,100",:,6,:,3.477,:,"90,600",:,"107,400",:,"81,000",:,6.2,:,"48,202",:,"18,142",:,"17,026",:,6.3,:,"316,739",:,14,:,"4,200",:,"328,002",:,"18,797",:,87.1,:,"9,700",:,"45,720",:,140,:,"152,374",:,"5,500",:,"174,700",:,"101,700",:,"68,700",:,170.52,:,5.2,:,"216,416",:,"22,384",:,"103,500",:,59.4,:,55.5,:,5.1,:,13.3,:,"9,000",:,"28,954",:,"9,669",:,4.9,:,0.1,:,4.6,:,"14,378",:,"31,176",:,"9,857",:,"11,520",:,"11,200",:,"21,713",:,"11,515",:,66.1,:,"47,400",:,"14,000",:,"23,070",:,"44,288",:,"10,869",:,"11,150",:,72.9,:,"84,900",:,225,:,5,:,"8,000",:,"42,490",:,"21,154",:,"39,900",:,"93,800",:,"10,640",:,"97,500",:,"9,340",:,"22,432",:,"19,526",:,"11,074",:,117,:,"4,500",:,"59,879",:,"183,668",:,"66,000",:,"30,925",:,"11,550",:,"21,337",:,"13,253",:,"18,752",:,"18,005",:,"27,537",:,"14,284",:,"23,566",:,"21,533",:,"42,296",:,"36,756",:,"179,834",:,:,:,:,:,"14,226",:,"20,763",:,"363,502",:,3,:,"21,856",:,:,:,"364,941",:,"14,815",:,:,:,"24,795",:,"17,540",:,"14,300",:,"42,370",:,:,:,"269,882.66",:,"163,280.00",:,:,:,499
Cardiff/Stuttgart,Cardiff,Stuttgart,Germany,DE007C1,UK009C1,0.063,0.22,:,11.078,26.7,38.4,0.8,0.4,146.7,152.3,9.8,6.5,18.5,16.5,54.3,61.1,75.4,90.2,:,"134,503",14.4,6.6,:,36,14.2,11.6,11,10.1,4.1,5.4,3.2,4.2,:,370,27.6,22.6,100.2,102.1,4,8,"321,386","182,400",:,8.198,8.1,7.6,"48,729","25,900",14.4,12.2,24.6,10.2,:,33.6,16,:,:,175,:,"1,472",:,"2,980",:,:,:,"1,508",:,324,6.7,11.7,"155,923","36,939",:,"4,027","325,401","198,100",4.8,6,:,3.477,"150,708","90,600","174,693","107,400","144,399","81,000",4.2,6.2,"199,500","48,202","79,200","18,142","84,900","17,026",4.3,6.3,"433,200","316,739",:,14,"4,418","4,200","476,820","328,002","76,800","18,797",68.5,87.1,"11,022","9,700","265,391","45,720",:,140,"313,964","152,374","6,604","5,500","311,156","174,700",:,"101,700","118,177","68,700",:,170.52,12.1,5.2,"472,377","216,416","26,580","22,384","48,573","103,500",54.5,59.4,:,55.5,3.8,5.1,31.5,13.3,"15,185","9,000","56,669","28,954","12,490","9,669",3.4,4.9,0.2,0.1,2.9,4.6,"67,894","14,378","114,600","31,176","13,258","9,857","14,198","11,520","28,643","11,200","30,073","21,713","13,556","11,515",59.1,66.1,"71,837","47,400","28,561","14,000","27,264","23,070","90,843","44,288","13,024","10,869",:,"11,150",63.8,72.9,"148,515","84,900",814,225,12.5,5,"29,300","8,000","42,610","42,490","21,784","21,154","107,154","39,900","166,757","93,800","14,573","10,640","172,871","97,500","25,072","9,340","46,948","22,432","25,748","19,526","15,500","11,074",90,117,"4,813","4,500","117,182","59,879","316,617","183,668",:,"66,000","60,513","30,925","13,066","11,550","20,826","21,337","23,736","13,253","34,944","18,752","34,865","18,005","51,235","27,537","27,499","14,284","61,850","23,566","42,853","21,533","89,549","42,296","69,809","36,756","316,126","179,834",:,:,:,:,"36,778","14,226","46,696","20,763","632,743","363,502",:,3,"43,895","21,856",1.9,:,"629,900","364,941",:,"14,815","327,294",:,:,"24,795",:,"17,540",:,"14,300","57,130","42,370",:,:,:,"269,882.66",:,"163,280.00","14,380",:,:,499
Carlisle/Flensburg,Carlisle,Flensburg,Germany,DE052C1,UK575C1,0.226,:,:,9.314,28.6,38.3,1.2,0,146.8,135.8,10.6,9.8,15.4,11.6,61.2,75.9,86.7,95,:,"49,457",10.4,:,:,55.3,14,14.4,12.2,13.7,3.9,5.4,2.6,5.8,:,456.5,32.6,37.6,100.8,104.8,2,:,"43,435","49,700",:,11.123,9.6,11.6,"7,286","8,300",10.9,11.5,13.3,4.1,:,44.8,:,3,:,67,:,617,:,"1,205",:,:,:,588,:,112,9.6,5.6,"11,745","4,441",:,"1,009","44,695","53,600",4.6,5.5,:,2.973,"21,297","25,300","23,398","28,200","19,923","22,700",4.2,5.8,:,"5,386",:,"4,223",:,"4,523",5,5,:,"102,000",:,3,880,:,"76,774","102,945",:,:,:,94.2,"2,393",:,"37,061","6,190",:,61,"50,432","53,030","1,513",:,"41,340","49,100",:,"15,900","19,251","16,200",:,42.29,:,:,"54,768","60,540","3,748","6,311","13,371","38,870",54.7,54.3,:,28.6,6.5,:,:,5,"1,429","3,500","6,041","6,457","1,679","2,831",5.4,:,0.1,3.7,4.1,:,"5,711",:,:,863,"1,785","3,025","2,297","2,647","2,982","2,400","4,050","5,971","1,908","3,251",57.9,59.4,"14,582","20,300",740,800,"4,450","5,443","9,610","12,510","1,840","3,060",:,"4,715",61.1,64.7,"20,667","23,200",28,"2,250",:,3.9,"1,909",800,"8,464","6,047","4,056","2,929","7,341","7,000","21,417","26,500","1,981","2,921","22,768","26,500","3,802","4,491","5,009","6,192","3,464","5,856","2,069","3,050",110,70,796,"1,000","13,616","12,557","44,433","55,442",:,"30,700","7,575","6,100","2,153","2,797","4,408","3,118","3,983","6,135","5,565","7,521","5,275","7,348","8,528","12,560","4,545","6,425","9,382","10,590","6,040","7,895","12,367","15,619","10,840","14,869","44,086","52,889",:,:,:,789,"5,580","6,100","6,327","7,724","88,519","108,331",:,1,"4,601","6,319",:,2.2,:,"107,386",:,"5,770",:,"49,263",:,"5,150",:,"2,425",:,"4,200","9,708","7,580",:,:,:,"169,736.66",:,"92,308.00",:,:,:,179
Cheltenham/Annecy,Cheltenham,Annecy,France,FR048C1,UK571C1,:,:,:,10.008,:,38.6,:,-0.1,:,140.3,:,9.2,:,13.7,:,71.3,:,85.8,:,"55,322",:,:,:,41.7,:,13.5,:,11.4,:,5.4,:,4.8,:,472.4,:,32.7,:,103.8,:,:,:,"60,000",:,10.025,:,9.9,:,"5,300",:,12.8,:,12.5,:,40.2,3,2,:,68,:,620,:,"1,174",:,:,:,554,:,83,:,7,:,"14,657",:,"1,172",:,"63,400",:,5.5,:,0.853,:,"28,700",:,"34,700",:,"27,100",:,5.6,:,"20,397",:,"6,548",:,"5,403",:,6,:,"94,774",:,1,:,:,:,"100,514",:,"8,109",:,80.9,:,"1,100",:,"15,800",:,51,:,"55,320",:,"1,100",:,"58,900",:,"31,800",:,"17,100",:,52.46,:,6.9,:,"62,808",:,"6,548",:,"34,900",:,57.2,:,52.8,:,3.2,:,17.4,:,"3,000",:,"7,854",:,"3,184",:,1.7,:,0.1,:,:,:,:,:,"14,994",:,"3,181",:,"3,378",:,"3,000",:,"6,433",:,"3,368",:,64.8,:,"17,800",:,"2,500",:,"7,018",:,"14,961",:,"3,180",:,"5,255",:,72.9,:,"27,100",:,75,:,5.6,:,"3,500",:,"8,155",:,"3,795",:,"10,300",:,"31,800",:,"3,120",:,"32,900",:,"4,501",:,"7,779",:,"6,365",:,"3,314",:,72,:,"1,250",:,"16,008",:,"59,648",:,"25,100",:,"8,154",:,"3,640",:,"4,360",:,"5,424",:,"6,785",:,"6,610",:,"11,571",:,"6,147",:,"10,815",:,"7,884",:,"15,844",:,"13,394",:,"57,461",:,:,:,416,:,"6,314",:,"7,960",:,"117,109",:,1,:,"7,182",:,2.2,:,"115,171",:,"6,375",:,"52,005",:,"4,940",:,"3,540",:,"4,300",:,"8,490",:,:,:,"374,568.35",:,"222,287.00",:,:,:,151
Cheltenham/Göttingen,Cheltenham,Göttingen,Germany,DE021C1,UK571C1,:,:,:,10.008,25.1,38.6,0.3,-0.1,150.1,140.3,9.9,9.2,19.1,13.7,53.4,71.3,:,85.8,:,"55,322",9.8,:,:,41.7,12.5,13.5,12,11.4,3.6,5.4,1.9,4.8,:,472.4,28.2,32.7,105.2,103.8,:,:,"57,814","60,000",:,10.025,8.5,9.9,"10,009","5,300",10.9,12.8,:,12.5,:,40.2,5,2,:,68,:,620,:,"1,174",:,:,:,554,:,83,10.8,7,:,"14,657",:,"1,172","59,172","63,400",4.3,5.5,:,0.853,"28,632","28,700","30,540","34,700","27,196","27,100",3.7,5.6,"23,400","20,397",:,"6,548","6,900","5,403",4.8,6,"96,100","94,774",:,1,938,:,:,"100,514",:,"8,109",80.4,80.9,"2,494","1,100","56,264","15,800",:,51,"71,165","55,320","1,556","1,100","55,568","58,900",:,"31,800","36,323","17,100",:,52.46,:,6.9,"85,147","62,808","4,444","6,548","14,901","34,900",52.4,57.2,:,52.8,5.1,3.2,19.6,17.4,"1,579","3,000","10,962","7,854","2,071","3,184",4.2,1.7,0.2,0.1,3.3,:,"8,335",:,"16,500","14,994","2,184","3,181","2,918","3,378","3,967","3,000","5,178","6,433","2,318","3,368",56,64.8,"15,418","17,800","1,754","2,500","5,721","7,018","12,988","14,961","2,126","3,180",:,"5,255",59.8,72.9,"28,015","27,100",142,75,:,5.6,"2,201","3,500","12,895","8,155","6,194","3,795","14,706","10,300","28,372","31,800","2,492","3,120","29,799","32,900","4,731","4,501","6,501","7,779","4,255","6,365","2,686","3,314",298,72,722,"1,250","22,848","16,008","61,291","59,648",:,"25,100","11,886","8,154","2,803","3,640","6,701","4,360","4,747","5,424","7,495","6,785","6,814","6,610","10,159","11,571","5,412","6,147","11,832","10,815","7,641","7,884","14,900","15,844","14,309","13,394","58,238","57,461",:,:,:,416,"7,101","6,314","7,259","7,960","119,529","117,109",:,1,"6,487","7,182",1.5,2.2,"118,200","115,171",:,"6,375","80,554","52,005",:,"4,940",:,"3,540",:,"4,300","35,606","8,490",:,:,:,"374,568.35",:,"222,287.00","2,429",:,:,151
Chesterfield/Darmstadt,Chesterfield,Darmstadt,Germany,DE025C1,UK047C1,0.569,:,:,9.885,28.3,36.2,0.5,0,150.5,140.5,9,9.3,18.5,12.3,55.1,72.1,80.7,93,:,"47,517",18.2,:,:,61.8,13.4,15.2,11.3,13.2,4.2,5.1,2.5,4.7,:,454.3,26.8,35.9,96.4,104.1,9,:,"81,060","48,400",:,11.72,8.3,11.6,"12,765","10,200",12.3,11.8,19.3,5.7,:,44.5,9,2,:,76,:,657,:,"1,226",:,:,:,569,:,109,9,5.6,"30,565","5,922",:,"1,034","81,777","52,700",4.9,5.2,:,2.901,"36,781","26,300","44,996","26,400","35,406","21,700",4.5,5.7,:,"5,356","10,900","3,862",:,"2,916",4.7,5.1,:,"98,278",:,3,"1,004","1,100","127,689","97,278","19,600","2,060",:,94,"2,936","2,800","59,367","6,060",:,50,"78,525","49,480","1,932","1,600","78,374","45,600",:,"17,900","35,985","17,900",:,42.01,12.4,2,"121,395","53,252","7,047","5,922","19,158","36,440",54.7,58.3,:,32.6,4.3,6.1,:,5.1,"3,060","2,500","13,019","6,521","3,184","2,676",3.6,5.3,0.3,0.2,2.7,4.2,"22,082",:,:,"2,440","3,451","2,707","3,992","2,767","6,424","1,700","7,769","5,404","3,612","2,981",59.8,60,"18,899","17,000","2,411","1,250","7,421","5,310","19,451","12,330","3,435","2,941",:,"3,270",64.6,61.7,"36,337","22,800",373,125,6.9,3.7,"10,718","1,500","14,251","5,896","8,165","3,011","20,108","6,100","42,967","24,000","3,868","2,660","44,723","25,600","5,702","4,039","9,906","6,008","6,635","5,383","3,901","2,745",258,:,"1,335",400,"29,260","12,867","77,689","53,364",:,"33,900","16,241","6,346","3,429","2,544","6,086","2,885","5,982","5,854","9,136","6,886","8,732","6,912","13,062","12,104","7,080","6,250","14,281","9,713","10,328","8,007","21,209","15,880","17,868","13,797","80,565","51,240",:,:,:,518,"8,579","5,674","10,881","7,873","158,254","104,604",:,0,"9,545","6,322",:,2.2,:,"103,634",:,"4,135","88,990","48,001",:,:,:,:,:,:,"40,905",:,:,:,:,"189,221.49",:,"113,157.00",:,:,:,185
Chesterfield/Troyes,Chesterfield,Troyes,France,FR051C2,UK047C1,:,:,:,9.885,:,36.2,:,0,:,140.5,:,9.3,:,12.3,:,72.1,:,93,:,"47,517",:,:,:,61.8,:,15.2,:,13.2,:,5.1,:,4.7,:,454.3,:,35.9,:,104.1,:,:,:,"48,400",:,11.72,:,11.6,:,"10,200",:,11.8,:,5.7,:,44.5,5,2,:,76,:,657,:,"1,226",:,:,:,569,:,109,:,5.6,:,"5,922",:,"1,034",:,"52,700",:,5.2,:,2.901,:,"26,300",:,"26,400",:,"21,700",:,5.7,:,"5,356",:,"3,862",:,"2,916",:,5.1,:,"98,278",:,3,:,"1,100",:,"97,278",:,"2,060",:,94,:,"2,800",:,"6,060",:,50,:,"49,480",:,"1,600",:,"45,600",:,"17,900",:,"17,900",:,42.01,:,2,:,"53,252",:,"5,922",:,"36,440",:,58.3,:,32.6,:,6.1,:,5.1,:,"2,500",:,"6,521",:,"2,676",:,5.3,:,0.2,:,4.2,:,:,:,"2,440",:,"2,707",:,"2,767",:,"1,700",:,"5,404",:,"2,981",:,60,:,"17,000",:,"1,250",:,"5,310",:,"12,330",:,"2,941",:,"3,270",:,61.7,:,"22,800",:,125,:,3.7,:,"1,500",:,"5,896",:,"3,011",:,"6,100",:,"24,000",:,"2,660",:,"25,600",:,"4,039",:,"6,008",:,"5,383",:,"2,745",:,:,:,400,:,"12,867",:,"53,364",:,"33,900",:,"6,346",:,"2,544",:,"2,885",:,"5,854",:,"6,886",:,"6,912",:,"12,104",:,"6,250",:,"9,713",:,"8,007",:,"15,880",:,"13,797",:,"51,240",:,:,:,518,:,"5,674",:,"7,873",:,"104,604",:,0,:,"6,322",:,2.2,:,"103,634",:,"4,135",:,"48,001",:,:,:,:,:,:,:,:,:,:,:,"189,221.49",:,"113,157.00",:,:,:,185
City of Edinburgh/Florence (Firenze),City of Edinburgh,Florence (Firenze),Italy,IT007C1,UK007C1,0.341,0.097,7.056,9.497,28,29.1,-0.3,1.1,165.9,153.9,14.4,7,10.7,19.9,72.5,52,84.3,82.5,"198,464","168,431",:,3.6,:,26.3,16.3,12.5,13,10.7,4.2,4.3,:,2.8,521,326.5,44.5,22.8,112.9,105.1,13,5,:,"276,200",11.479,8.659,11.4,8.1,:,"35,100",13.7,14,15.7,15.6,:,36.4,:,:,145,414,"2,398","2,340","4,373","4,467",:,31,"1,975","2,127",205,674,4.2,8.7,"59,992","80,638","2,688","4,899",:,"293,300",3.8,5,:,4.082,:,"142,000",:,"151,200",:,"124,600",4.1,5.1,:,"108,018","13,335","55,874",:,"57,976",4.2,4.8,:,"398,128",:,20,:,"9,200","320,956","425,434","46,657","24,764",:,77.2,:,"14,100",:,:,:,:,:,"249,810",:,"4,900",:,"264,000",:,"186,400",:,"104,400",245.32,121.1,12.2,4.8,:,"353,367","15,503","26,263",:,:,:,62.2,:,63.2,:,3.2,:,20.9,:,"10,000","20,800","52,353","7,576","10,723",:,4.8,:,0.1,:,6.5,:,"12,672",:,"50,042","8,283","11,498","8,306","12,385",:,"19,500","14,519","25,660","8,060","13,298",:,66.4,:,"82,400",:,"37,000","15,905","24,672","52,307","72,347","7,443","12,966",:,"18,630",:,70.8,:,"132,700",:,500,3.5,10.8,:,"22,000","16,145","44,749","8,444","20,780",:,"58,900",:,"139,400","7,020","12,441",:,"143,500","20,610","14,134","25,497","36,673","15,859","22,221","7,499","13,219",:,114,:,"7,000","40,771","102,505","201,990","264,296",:,"77,600","19,971","50,152","7,599","12,288","7,701","23,969","19,485","19,699","26,605","27,971","23,014","27,198","43,566","41,677","24,081","21,978","54,795","35,888","32,170","32,181","61,959","64,708","49,619","55,169","178,958","251,559",:,"62,117",:,"8,341","34,185","21,754","29,789","32,527","380,948","515,855",4,:,"26,810","35,674",2,:,"375,024","506,769",:,"23,745","187,376",:,:,"32,380",:,"26,225",:,"18,500",:,"58,650",:,"138,746",:,"405,423.72",:,"229,516.00",:,"37,534",350,"1,088"
City of Edinburgh/Munich (München),City of Edinburgh,Munich (München),Germany,DE003C1,UK007C1,0.13,0.097,:,9.497,26.9,29.1,-0.6,1.1,146.4,153.9,9.2,7,18.4,19.9,54.4,52,74.5,82.5,:,"168,431",10.9,3.6,:,26.3,14.5,12.5,10.7,10.7,3.8,4.3,2.5,2.8,:,326.5,27.4,22.8,105.5,105.1,19,5,"802,182","276,200",:,8.659,8.6,8.1,"112,724","35,100",14.9,14,25.5,15.6,:,36.4,17,:,:,414,:,"2,340",:,"4,467",:,31,:,"2,127",:,674,6.2,8.7,"371,683","80,638",:,"4,899","811,844","293,300",5.3,5,:,4.082,"384,597","142,000","427,247","151,200","368,458","124,600",4.3,5.1,:,"108,018",:,"55,874",:,"57,976",4,4.8,:,"398,128",:,20,"11,189","9,200","1,084,356","425,434",:,"24,764",:,77.2,"24,489","14,100","705,150",:,:,:,"800,262","249,810","13,299","4,900","778,802","264,000",:,"186,400","233,054","104,400",:,121.1,:,4.8,"1,007,860","353,367","62,296","26,263","95,112",:,59,62.2,:,63.2,3.1,3.2,:,20.9,"25,211","10,000","136,479","52,353","27,328","10,723",3,4.8,0.1,0.1,2.9,6.5,"109,992","12,672",:,"50,042","28,696","11,498","29,977","12,385","60,291","19,500","77,862","25,660","31,742","13,298",64.4,66.4,"179,031","82,400","58,063","37,000","57,885","24,672","217,248","72,347","30,554","12,966",:,"18,630",70.2,70.8,"379,076","132,700","1,058",500,:,10.8,"87,921","22,000","90,658","44,749","45,259","20,780","238,911","58,900","410,344","139,400","38,191","12,441","423,106","143,500","54,155","14,134","108,074","36,673","56,024","22,221","39,671","13,219",91,114,"14,327","7,000","267,864","102,505","747,617","264,296",:,"77,600","131,385","50,152","27,908","12,288","45,399","23,969","56,871","19,699","80,847","27,971","74,979","27,198","125,316","41,677","68,445","21,978","133,444","35,888","104,003","32,181","211,616","64,708","155,826","55,169","708,422","251,559",:,"62,117",:,"8,341","79,289","21,754","107,613","32,527","1,456,039","515,855",:,:,"109,174","35,674",:,:,:,"506,769",:,"23,745","825,847",:,:,"32,380",:,"26,225",:,"18,500","132,688","58,650",:,"138,746",:,"405,423.72",:,"229,516.00",:,"37,534",:,"1,088"
City of Edinburgh/Nice,City of Edinburgh,Nice,France,FR205C2,UK007C1,:,0.097,:,9.497,:,29.1,:,1.1,:,153.9,:,7,:,19.9,:,52,:,82.5,:,"168,431",:,3.6,:,26.3,:,12.5,:,10.7,:,4.3,:,2.8,:,326.5,:,22.8,:,105.1,:,5,:,"276,200",:,8.659,:,8.1,:,"35,100",:,14,:,15.6,:,36.4,23,:,:,414,:,"2,340",:,"4,467",:,31,:,"2,127",:,674,:,8.7,:,"80,638",:,"4,899",:,"293,300",:,5,:,4.082,:,"142,000",:,"151,200",:,"124,600",:,5.1,:,"108,018",:,"55,874",:,"57,976",:,4.8,:,"398,128",:,20,:,"9,200",:,"425,434",:,"24,764",:,77.2,:,"14,100",:,:,:,:,:,"249,810",:,"4,900",:,"264,000",:,"186,400",:,"104,400",:,121.1,:,4.8,:,"353,367",:,"26,263",:,:,:,62.2,:,63.2,:,3.2,:,20.9,:,"10,000",:,"52,353",:,"10,723",:,4.8,:,0.1,:,6.5,:,"12,672",:,"50,042",:,"11,498",:,"12,385",:,"19,500",:,"25,660",:,"13,298",:,66.4,:,"82,400",:,"37,000",:,"24,672",:,"72,347",:,"12,966",:,"18,630",:,70.8,:,"132,700",:,500,:,10.8,:,"22,000",:,"44,749",:,"20,780",:,"58,900",:,"139,400",:,"12,441",:,"143,500",:,"14,134",:,"36,673",:,"22,221",:,"13,219",:,114,:,"7,000",:,"102,505",:,"264,296",:,"77,600",:,"50,152",:,"12,288",:,"23,969",:,"19,699",:,"27,971",:,"27,198",:,"41,677",:,"21,978",:,"35,888",:,"32,181",:,"64,708",:,"55,169",:,"251,559",:,"62,117",:,"8,341",:,"21,754",:,"32,527",:,"515,855",:,:,:,"35,674",:,:,:,"506,769",:,"23,745",:,:,:,"32,380",:,"26,225",:,"18,500",:,"58,650",:,"138,746",:,"405,423.72",:,"229,516.00",:,"37,534",:,"1,088"
